# Force coefficients
# liftDir         : (-1.7364796312e-01 0.0000000000e+00 9.8480779084e-01)
# dragDir         : (9.8480779084e-01 0.0000000000e+00 1.7364796312e-01)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.2159694500e+01
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (2.0000000000e-01 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	-3.4413181007e-04	5.4089257984e-03	2.8222337455e-04	-2.0302012280e-04	4.8524349735e-04
1                 	-2.1562848577e+00	2.7927030314e+00	7.6038118463e+00	1.6456210654e+00	5.9581907809e+00
2                 	-1.3034462074e+00	1.6906959618e+00	5.1338709730e+00	1.2634892791e+00	3.8703816939e+00
3                 	7.4826256098e-01	-1.0322914158e+00	-1.8128887145e+00	-1.5818179625e-01	-1.6547069182e+00
4                 	1.5995972860e+00	-2.1866275276e+00	-4.6684016796e+00	-7.3460355382e-01	-3.9337981257e+00
5                 	7.0664282173e-01	-1.0661726136e+00	-2.1960261341e+00	-3.9137024534e-01	-1.8046558888e+00
6                 	-5.2163747108e-01	5.7551617312e-01	1.6570315405e+00	3.0687829918e-01	1.3501532413e+00
7                 	-9.1473823781e-01	1.4855634030e+00	3.2581286382e+00	7.1432608129e-01	2.5438025569e+00
8                 	-3.4591979565e-01	1.1060687135e+00	1.9261105596e+00	6.1713548415e-01	1.3089750754e+00
9                 	4.4834923153e-01	-7.5796931494e-02	-4.9162256446e-01	2.0253794930e-01	-6.9416051376e-01
10                	5.3673730849e-01	-7.1197554606e-01	-1.1951999127e+00	-6.0862647875e-02	-1.1343372648e+00
11                	1.4516391224e-01	-5.5300999707e-01	-3.1744920957e-01	-1.3560692542e-02	-3.0388851703e-01
12                	-2.6464496438e-01	-1.9623565296e-02	8.4084911381e-01	1.5577959253e-01	6.8506952128e-01
13                	-2.7732314737e-01	4.4904701116e-01	1.3744998238e+00	4.0992676451e-01	9.6457305925e-01
14                	-3.9275434679e-02	4.6903376654e-01	1.0157978526e+00	4.6862349164e-01	5.4717436099e-01
15                	1.4425825897e-01	1.7208038438e-01	3.6400407112e-01	3.2626029453e-01	3.7743776588e-02
16                	1.0985839813e-01	-8.4915660618e-02	5.7143139779e-02	1.3842996802e-01	-8.1286828244e-02
17                	-2.1819279951e-02	-1.6701512437e-01	2.4187739078e-01	9.9119415438e-02	1.4275797534e-01
