# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 2.5000000000e+02
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (2.0000000000e-01 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
0                 	-9.4893722509e-17	1.9507346327e-03	8.4870883469e-17	-5.2458280775e-17	1.3732916424e-16
1                 	-3.4404108774e-06	4.2422004029e-01	1.1992552005e-05	2.5558651252e-06	9.4366868799e-06
2                 	4.9805835885e-05	3.5473912307e-01	-2.0039131483e-04	-5.0389821531e-05	-1.5000149330e-04
3                 	-1.0574132911e-04	1.1390693709e-01	2.2964410119e-04	9.0807214813e-06	2.2056337971e-04
4                 	-1.5190498613e-04	-1.2126578694e-01	4.1211259908e-04	5.4151313412e-05	3.5796128567e-04
5                 	-2.5655641833e-05	-1.6268351795e-01	1.4306182941e-04	4.5875272873e-05	9.7186556538e-05
6                 	4.5081080232e-05	-3.5081425773e-02	-5.2637812452e-05	1.8762174007e-05	-7.1399986458e-05
7                 	-7.3503773417e-05	8.7560284168e-02	4.1106079468e-04	1.3202662392e-04	2.7903417076e-04
8                 	-1.4361458399e-04	1.0585168231e-01	-1.3918602879e-04	-2.1320759839e-04	7.4021569597e-05
9                 	-8.2765292702e-04	4.6612399316e-02	9.2848521879e-04	-3.6341031762e-04	1.2918955364e-03
10                	-1.7370039784e-03	-1.3836494146e-02	2.9619021273e-03	-2.5605291480e-04	3.2179550421e-03
11                	-1.7803545411e-03	-3.0195766302e-02	3.5514200904e-03	-4.6444959223e-06	3.5560645863e-03
12                	-1.4939213617e-03	-8.5101755809e-03	3.3626424934e-03	1.8739988499e-04	3.1752426084e-03
13                	-1.1229232298e-03	1.9237005099e-02	2.3916851476e-03	7.2919343988e-05	2.3187658036e-03
14                	-9.6927566147e-04	3.1645029417e-02	1.7086682895e-03	-1.1494151674e-04	1.8236098062e-03
15                	-1.3048331063e-03	2.5127770106e-02	2.3778595885e-03	-1.1590331210e-04	2.4937629006e-03
16                	-1.7400443726e-03	9.9431480778e-03	3.8313312262e-03	1.7562124056e-04	3.6557099857e-03
17                	-1.6701697021e-03	-2.7443075466e-03	3.8791396430e-03	2.6940011942e-04	3.6097395235e-03
18                	-1.2218020043e-03	-4.4201736184e-03	2.8918636924e-03	2.2412984191e-04	2.6677338505e-03
19                	-7.5636986622e-04	3.4325493089e-03	1.8434014815e-03	1.6533087453e-04	1.6780706070e-03
20                	-5.5026951306e-04	1.2935115926e-02	1.6061860319e-03	2.5282350287e-04	1.3533625290e-03
21                	-5.2581879314e-04	1.6036179576e-02	1.8286215077e-03	3.8849196069e-04	1.4401295470e-03
22                	-4.1159532610e-04	1.1546907979e-02	1.6635940431e-03	4.2020169546e-04	1.2433923477e-03
23                	-1.4828812241e-04	4.4281203450e-03	1.1718699322e-03	4.3764684368e-04	7.3422308851e-04
24                	3.1220706827e-04	9.7506710946e-04	2.7760671845e-04	4.5101042750e-04	-1.7340370905e-04
25                	7.4294782959e-04	3.1312755243e-03	-5.1405205485e-04	4.8592180217e-04	-9.9997385702e-04
26                	9.7050147806e-04	7.3910463590e-03	-6.0485641029e-04	6.6807327291e-04	-1.2729296832e-03
27                	1.0840381179e-03	1.0207377233e-02	-1.1343115810e-03	5.1688232741e-04	-1.6511939084e-03
28                	1.1760218924e-03	1.0223166583e-02	-2.0697565241e-03	1.4114363037e-04	-2.2109001545e-03
29                	1.1702993090e-03	8.2080174279e-03	-2.1982338179e-03	7.1182400058e-05	-2.2694162180e-03
30                	1.0266578261e-03	6.3549865325e-03	-1.2279984136e-03	4.1265861931e-04	-1.6406570329e-03
31                	8.1268190661e-04	6.9393558169e-03	-6.9143111959e-04	4.6696634681e-04	-1.1583974664e-03
32                	4.9053088240e-04	8.4522657023e-03	-2.8418979229e-04	3.4843598626e-04	-6.3262577855e-04
33                	1.3505669338e-04	9.8344159527e-03	-2.5783691574e-05	1.2216484759e-04	-1.4794853916e-04
34                	-9.0419389054e-05	9.9869472551e-03	1.8087772469e-04	1.9473291622e-08	1.8085825140e-04
35                	-4.6590155815e-04	1.0458422387e-02	1.1968428012e-03	1.3251984246e-04	1.0643229588e-03
36                	-7.2933761092e-04	1.0547387873e-02	2.0463529887e-03	2.9383888343e-04	1.7525141053e-03
37                	-9.4139512612e-04	1.0409390353e-02	2.4516430928e-03	2.8442642026e-04	2.1672166725e-03
38                	-1.1298467437e-03	1.0480984012e-02	2.5661634940e-03	1.5323500326e-04	2.4129284907e-03
39                	-1.3788029278e-03	1.0783138294e-02	2.9058449706e-03	7.4119557533e-05	2.8317254131e-03
40                	-1.5429859093e-03	1.1153239291e-02	3.2417077534e-03	7.7867967458e-05	3.1638397860e-03
41                	-1.8881035495e-03	1.1145521415e-02	4.1632276812e-03	1.9351029107e-04	3.9697173901e-03
42                	-2.0972884665e-03	1.1036424050e-02	4.7287480269e-03	2.6708554692e-04	4.4616624800e-03
43                	-2.2098197839e-03	1.1014179260e-02	4.9431225787e-03	2.6174150547e-04	4.6813810733e-03
44                	-2.1397405354e-03	1.1036675978e-02	4.7865176070e-03	2.5351826816e-04	4.5329993389e-03
45                	-1.9660989165e-03	1.1043218709e-02	4.4991670571e-03	2.8348461201e-04	4.2156824451e-03
46                	-1.8750468242e-03	1.1031551060e-02	4.4263400446e-03	3.3812319811e-04	4.0882168465e-03
47                	-1.8054480511e-03	1.0994304138e-02	4.3749647948e-03	3.8203434633e-04	3.9929304485e-03
48                	-1.7587063694e-03	1.0984320909e-02	4.3063587696e-03	3.9447301537e-04	3.9118857542e-03
49                	-1.6290887533e-03	1.0951337964e-02	4.0342980323e-03	3.8806026284e-04	3.6462377694e-03
50                	-1.4956353233e-03	1.0901983669e-02	3.8361102538e-03	4.2241980360e-04	3.4136904502e-03
51                	-1.3422381994e-03	1.0835929015e-02	3.5972099061e-03	4.5636675366e-04	3.1408431525e-03
52                	-1.2149369984e-03	1.0788241987e-02	3.3733858192e-03	4.7175591117e-04	2.9016299080e-03
53                	-1.0559522817e-03	1.0774826903e-02	3.0806294071e-03	4.8436242189e-04	2.5962669852e-03
54                	-9.3145303828e-04	1.0807645727e-02	2.8454298963e-03	4.9126190988e-04	2.3541679864e-03
55                	-8.4215864944e-04	1.0850785196e-02	2.6686364854e-03	4.9215959328e-04	2.1764768921e-03
56                	-7.6410501091e-04	1.0861774749e-02	2.5035233858e-03	4.8765668200e-04	2.0158667038e-03
57                	-7.0380344523e-04	1.0838427190e-02	2.3820087612e-03	4.8720093538e-04	1.8948078258e-03
58                	-6.3760196147e-04	1.0798715683e-02	2.2493300560e-03	4.8706306652e-04	1.7622669895e-03
59                	-5.7208217268e-04	1.0789377026e-02	2.1185892661e-03	4.8721246039e-04	1.6313768057e-03
60                	-5.2006382713e-04	1.0816973080e-02	2.0183256789e-03	4.8909901234e-04	1.5292266666e-03
61                	-4.8372655988e-04	1.0872991856e-02	1.9460639122e-03	4.8930539623e-04	1.4567585160e-03
62                	-4.5420002882e-04	1.0901900414e-02	1.8882321352e-03	4.8991603879e-04	1.3983160964e-03
63                	-4.3161822537e-04	1.0904901187e-02	1.8393267166e-03	4.8804513291e-04	1.3512815837e-03
64                	-4.1163565402e-04	1.0902765401e-02	1.7949096446e-03	4.8581916830e-04	1.3090904763e-03
65                	-3.9891688635e-04	1.0896933943e-02	1.7796685698e-03	4.9091739855e-04	1.2887511712e-03
66                	-3.5602851029e-04	1.0921012673e-02	1.6682808198e-03	4.7811189959e-04	1.1901689202e-03
67                	-3.3045449229e-04	1.0932039761e-02	1.6139553302e-03	4.7652317281e-04	1.1374321574e-03
68                	-3.2688378073e-04	1.0923748970e-02	1.6219976550e-03	4.8411504676e-04	1.1378826082e-03
69                	-3.2211691161e-04	1.0952333266e-02	1.6142439999e-03	4.8500508835e-04	1.1292389116e-03
70                	-3.1318099660e-04	1.0997603812e-02	1.5887410449e-03	4.8118952585e-04	1.1075515190e-03
71                	-3.0205322059e-04	1.1016833226e-02	1.5614548497e-03	4.7867420427e-04	1.0827806455e-03
